,precision,recall,f1-score,support
dog,0.1935483870967742,0.2,0.19672131147540983,30.0
frog,0.23333333333333334,0.23333333333333334,0.23333333333333334,30.0
giraffe,0.2,0.2,0.20000000000000004,30.0
horse,0.20689655172413793,0.2,0.20338983050847456,30.0
tiger,0.13333333333333333,0.13333333333333333,0.13333333333333333,30.0
accuracy,0.19333333333333333,0.19333333333333333,0.19333333333333333,0.19333333333333333
macro avg,0.19342232109751575,0.1933333333333333,0.1933555617301102,150.0
weighted avg,0.19342232109751575,0.19333333333333333,0.19335556173011023,150.0
