,precision,recall,f1-score,support
dog,0.22580645161290322,0.23333333333333334,0.22950819672131148,30.0
frog,0.2,0.2,0.20000000000000004,30.0
giraffe,0.2,0.2,0.20000000000000004,30.0
horse,0.13793103448275862,0.13333333333333333,0.13559322033898305,30.0
tiger,0.2,0.2,0.20000000000000004,30.0
accuracy,0.19333333333333333,0.19333333333333333,0.19333333333333333,0.19333333333333333
macro avg,0.19274749721913237,0.1933333333333333,0.19302028341205893,150.0
weighted avg,0.19274749721913237,0.19333333333333333,0.19302028341205893,150.0
